Sample in Buffer,Sample in Window,TRIGGER,protpg_inst/data_in[23:0],protpg_inst/hsv_h[8:0],protpg_inst/hsv_s[7:0],protpg_inst/hsv_v[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
200,200,0,707c68,79,27,122
201,201,0,707c68,79,27,122
202,202,0,687c68,79,36,122
203,203,0,687868,90,36,127
204,204,0,687c68,90,36,127
205,205,0,687c68,120,27,127
206,206,0,707868,120,36,122
207,207,0,707870,120,36,127
208,208,0,707870,120,27,127
209,209,0,707870,79,8,122
210,210,0,707c68,120,8,122
211,211,0,707c68,120,8,122
212,212,0,707c68,120,36,122
213,213,0,707c68,90,36,127
214,214,0,707c68,90,36,127
215,215,0,707c68,90,36,127
216,216,0,707c70,90,36,127
217,217,0,707c70,90,36,127
218,218,0,707c70,90,18,127
219,219,0,707c70,120,18,127
220,220,0,707c68,120,18,127
221,221,0,707c68,120,18,127
222,222,0,707c70,120,36,127
223,223,0,707c70,90,36,127
224,224,0,707870,90,18,127
225,225,0,707c70,120,18,127
226,226,0,707870,120,8,127
227,227,0,707870,120,18,122
228,228,0,787c70,120,8,127
229,229,0,787c70,120,8,122
230,230,0,707c68,120,18,122
231,231,0,707c68,60,18,127
232,232,0,707c68,60,36,127
233,233,0,707c68,90,36,127
234,234,0,787870,90,36,127
235,235,0,787870,90,36,127
236,236,0,707870,90,18,127
237,237,0,787870,26,18,127
238,238,0,707c70,26,8,127
239,239,0,707c70,120,18,122
240,240,0,707c70,26,18,127
241,241,0,707c70,120,18,127
242,242,0,687c70,120,18,127
243,243,0,687c70,120,18,127
244,244,0,707c70,120,36,127
245,245,0,707c70,150,36,127
246,246,0,787c70,150,18,127
247,247,0,787c70,120,18,127
248,248,0,707c70,120,18,127
249,249,0,707c70,60,18,127
250,250,0,707c70,60,18,127
251,251,0,707c70,120,18,127
252,252,0,787c70,120,18,127
253,253,0,787c70,120,18,127
254,254,0,787c70,120,18,127
255,255,0,787870,60,18,127
256,256,0,787c70,60,18,127
257,257,0,787c70,60,18,127
258,258,0,707c70,26,18,127
259,259,0,707c78,60,18,127
260,260,0,707c78,60,18,127
261,261,0,707c70,120,18,127
262,262,0,787c70,180,18,127
263,263,0,787c70,180,18,127
264,264,0,707c70,120,18,127
265,265,0,707c70,60,18,127
