Sample in Buffer,Sample in Window,TRIGGER,protpg_inst/data_in[23:0],protpg_inst/hsv_h[8:0],protpg_inst/hsv_s[7:0],protpg_inst/hsv_v[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
4286,4286,0,888490,258,22,146
4287,4287,0,888490,258,22,146
4288,4288,0,888090,258,22,146
4289,4289,0,888090,258,22,146
4290,4290,0,888498,258,31,146
4291,4291,0,888498,270,31,146
4292,4292,0,888498,270,36,146
4293,4293,0,888498,250,36,155
4294,4294,0,888090,250,36,155
4295,4295,0,888090,250,36,155
4296,4296,0,888490,250,31,155
4297,4297,0,888490,270,31,146
4298,4298,0,888490,270,22,146
4299,4299,0,888490,258,22,146
4300,4300,0,888490,258,22,146
4301,4301,0,888490,258,22,146
4302,4302,0,888490,258,22,146
4303,4303,0,888490,258,22,146
4304,4304,0,888090,258,22,146
4305,4305,0,888090,258,22,146
4306,4306,0,888090,258,31,146
4307,4307,0,888090,270,31,146
4308,4308,0,888090,270,31,146
4309,4309,0,888090,270,31,146
4310,4310,0,888090,270,31,146
4311,4311,0,888090,270,31,146
4312,4312,0,887c90,270,31,146
4313,4313,0,888090,270,31,146
4314,4314,0,888090,270,33,146
4315,4315,0,888090,271,31,146
4316,4316,0,888090,270,31,146
4317,4317,0,888090,270,31,146
4318,4318,0,888090,270,31,146
4319,4319,0,888090,270,31,146
4320,4320,0,888090,270,31,146
4321,4321,0,888490,270,31,146
4322,4322,0,888490,270,31,146
4323,4323,0,888490,270,22,146
4324,4324,0,888090,258,22,146
4325,4325,0,888090,258,22,146
4326,4326,0,888090,258,31,146
4327,4327,0,888090,270,31,146
4328,4328,0,888090,270,31,146
4329,4329,0,888090,270,31,146
4330,4330,0,888488,270,31,146
4331,4331,0,888088,270,31,146
4332,4332,0,888088,270,7,146
4333,4333,0,888088,300,16,137
4334,4334,0,888090,300,16,137
4335,4335,0,888090,300,16,137
4336,4336,0,888090,300,31,137
4337,4337,0,908490,270,31,146
4338,4338,0,908490,270,31,146
4339,4339,0,908890,270,22,146
4340,4340,0,908c98,300,22,146
4341,4341,0,888490,300,14,146
4342,4342,0,807c88,300,19,146
4343,4343,0,787480,255,22,155
4344,4344,0,787878,258,18,146
4345,4345,0,707470,246,22,137
4346,4346,0,707070,294,10,128
4347,4347,0,686c68,300,2,127
4348,4348,0,686070,300,13,118
4349,4349,0,686070,300,4,118
4350,4350,0,686468,120,47,111
4351,4351,0,686468,275,47,118
4352,4352,0,706868,275,18,118
4353,4353,0,706870,300,18,109
4354,4354,0,706c70,300,26,109
4355,4355,0,706c70,345,26,118
4356,4356,0,706c78,300,15,118
4357,4357,0,706c78,300,15,118
4358,4358,0,787478,300,32,118
4359,4359,0,807c80,266,32,127
4360,4360,0,808088,266,20,127
4361,4361,0,808088,300,2,127
4362,4362,0,808088,300,16,128
4363,4363,0,808088,240,16,137
4364,4364,0,888088,240,16,137
4365,4365,0,888088,240,16,137
4366,4366,0,888088,240,16,137
4367,4367,0,888088,300,16,137
4368,4368,0,888088,300,16,137
4369,4369,0,888088,300,16,137
4370,4370,0,808088,300,16,137
4371,4371,0,808088,300,16,137
4372,4372,0,888488,300,16,137
4373,4373,0,808488,240,16,137
4374,4374,0,888088,240,7,137
4375,4375,0,888088,300,16,137
4376,4376,0,888088,207,16,137
4377,4377,0,888088,300,16,137
4378,4378,0,888088,300,16,137
4379,4379,0,888088,300,16,137
4380,4380,0,888088,300,16,137
4381,4381,0,888088,300,16,137
4382,4382,0,888088,300,16,137
4383,4383,0,888088,300,16,137
4384,4384,0,888088,300,16,137
4385,4385,0,888088,300,16,137
4386,4386,0,888088,300,16,137
4387,4387,0,888088,300,16,137
4388,4388,0,888088,300,16,137
4389,4389,0,888088,300,16,137
4390,4390,0,888088,300,16,137
4391,4391,0,888088,300,16,137
4392,4392,0,888488,300,16,137
4393,4393,0,888088,300,16,137
4394,4394,0,808488,300,7,137
4395,4395,0,808088,300,16,137
4396,4396,0,808088,300,16,137
4397,4397,0,808088,207,16,137
4398,4398,0,808088,240,16,137
4399,4399,0,808088,240,16,137
4400,4400,0,888088,240,16,137
4401,4401,0,808088,240,16,137
4402,4402,0,807c88,240,16,137
4403,4403,0,807c88,300,16,137
4404,4404,0,807c88,240,18,137
4405,4405,0,807c88,246,18,137
4406,4406,0,887c88,246,18,137
4407,4407,0,887c88,246,18,137
4408,4408,0,887c88,246,18,137
4409,4409,0,807c88,300,18,137
4410,4410,0,808080,300,18,137
4411,4411,0,808080,300,18,137
4412,4412,0,808088,246,0,137
4413,4413,0,808088,0,0,128
4414,4414,0,808088,0,16,128
4415,4415,0,808088,240,16,137
4416,4416,0,808088,240,16,137
4417,4417,0,808088,240,16,137
4418,4418,0,788080,240,16,137
4419,4419,0,788080,240,16,137
4420,4420,0,808480,240,2,137
4421,4421,0,808480,180,2,128
4422,4422,0,808088,180,9,128
4423,4423,0,808080,120,9,133
4424,4424,0,808080,120,16,133
4425,4425,0,808080,240,0,137
4426,4426,0,808080,0,0,128
4427,4427,0,808080,0,0,128
4428,4428,0,808080,0,0,128
4429,4429,0,788080,0,0,128
4430,4430,0,807c80,0,0,128
4431,4431,0,807c80,0,2,128
4432,4432,0,807c80,180,2,128
4433,4433,0,888088,300,2,128
4434,4434,0,888080,300,2,128
4435,4435,0,888080,300,16,128
4436,4436,0,888080,300,16,137
4437,4437,0,888080,360,16,137
4438,4438,0,888080,360,16,137
4439,4439,0,807c80,360,16,137
4440,4440,0,807c80,360,16,137
4441,4441,0,807c80,360,2,137
4442,4442,0,807c80,300,2,128
4443,4443,0,807c80,300,2,128
4444,4444,0,808080,300,2,128
4445,4445,0,808080,300,2,128
4446,4446,0,808080,300,0,128
4447,4447,0,808080,0,0,128
4448,4448,0,808080,0,0,128
4449,4449,0,808080,0,0,128
4450,4450,0,807c80,0,0,128
4451,4451,0,787c80,0,0,128
4452,4452,0,787c80,0,2,128
4453,4453,0,787c80,300,2,128
4454,4454,0,787c80,240,2,128
4455,4455,0,807c80,240,2,128
4456,4456,0,807c80,240,2,128
4457,4457,0,807c80,240,2,128
4458,4458,0,807c80,300,2,128
4459,4459,0,808080,300,2,128
4460,4460,0,808080,300,2,128
4461,4461,0,808080,300,0,128
4462,4462,0,888080,0,0,128
4463,4463,0,888080,0,0,128
4464,4464,0,808080,0,16,128
4465,4465,0,808080,360,16,137
4466,4466,0,788080,360,0,137
4467,4467,0,788080,0,0,128
4468,4468,0,808080,0,2,128
4469,4469,0,808080,180,2,128
4470,4470,0,808080,180,0,128
4471,4471,0,808080,0,0,128
4472,4472,0,808080,0,0,128
4473,4473,0,808080,0,0,128
4474,4474,0,808480,0,0,128
4475,4475,0,808078,0,0,128
4476,4476,0,808080,0,9,128
4477,4477,0,808080,120,2,133
4478,4478,0,887c80,60,0,128
4479,4479,0,887c80,0,0,128
4480,4480,0,887c80,0,18,128
4481,4481,0,887c80,354,18,137
4482,4482,0,808078,354,18,137
4483,4483,0,808078,354,18,137
4484,4484,0,808078,354,2,137
4485,4485,0,808078,60,2,128
4486,4486,0,808078,60,2,128
4487,4487,0,808078,60,2,128
4488,4488,0,788080,60,2,128
4489,4489,0,787c78,60,2,128
4490,4490,0,707c80,60,2,128
4491,4491,0,707c80,180,0,128
4492,4492,0,787c78,0,20,127
4493,4493,0,787c78,186,20,128
4494,4494,0,787c78,186,0,128
4495,4495,0,807c78,0,0,127
4496,4496,0,788078,0,0,127
4497,4497,0,787c78,0,2,127
4498,4498,0,787c78,360,2,128
4499,4499,0,787c78,120,0,128
4500,4500,0,787c78,0,0,127
4501,4501,0,807c78,0,0,127
4502,4502,0,787c78,0,0,127
4503,4503,0,808078,0,2,127
4504,4504,0,788080,360,0,128
4505,4505,0,788078,0,2,127
4506,4506,0,787c80,60,2,128
4507,4507,0,787c78,180,2,128
4508,4508,0,787c78,120,2,128
4509,4509,0,787c78,240,0,128
4510,4510,0,807c78,0,0,127
4511,4511,0,807c78,0,0,127
4512,4512,0,807c78,0,2,127
4513,4513,0,807c78,360,2,128
4514,4514,0,807c78,360,2,128
4515,4515,0,807878,360,2,128
4516,4516,0,787c78,360,2,128
4517,4517,0,787c78,360,12,128
4518,4518,0,787c78,310,0,128
4519,4519,0,707878,0,0,127
4520,4520,0,787878,0,0,127
4521,4521,0,707878,0,18,127
4522,4522,0,787870,214,10,127
4523,4523,0,787c78,300,18,127
4524,4524,0,787c78,214,18,127
4525,4525,0,787c78,26,0,127
4526,4526,0,787c78,0,0,127
4527,4527,0,787c78,0,0,127
4528,4528,0,787c78,0,0,127
4529,4529,0,787c78,0,0,127
4530,4530,0,807c78,0,0,127
4531,4531,0,807c78,0,0,127
4532,4532,0,787c70,0,2,127
4533,4533,0,788078,360,2,128
4534,4534,0,788078,360,18,128
4535,4535,0,787c70,60,2,127
4536,4536,0,787c78,120,2,128
4537,4537,0,787c78,120,18,128
4538,4538,0,807878,60,0,127
4539,4539,0,807878,0,0,127
4540,4540,0,787c78,0,12,127
4541,4541,0,787c78,310,12,128
4542,4542,0,787c78,310,0,128
4543,4543,0,787c78,0,0,127
4544,4544,0,787c78,0,0,127
4545,4545,0,787c70,0,0,127
4546,4546,0,787c70,0,0,127
4547,4547,0,787c70,0,18,127
4548,4548,0,787c70,60,18,127
4549,4549,0,787c78,60,18,127
4550,4550,0,787878,60,18,127
4551,4551,0,707878,60,0,127
4552,4552,0,787c78,0,10,127
4553,4553,0,787c78,300,18,127
4554,4554,0,787c70,214,0,127
4555,4555,0,787c78,0,0,127
4556,4556,0,787878,0,18,127
4557,4557,0,787878,60,0,127
4558,4558,0,707878,0,10,127
4559,4559,0,707870,300,10,127
4560,4560,0,707870,300,18,127
4561,4561,0,707870,214,8,127
4562,4562,0,707870,120,8,122
4563,4563,0,707870,120,8,122
4564,4564,0,707470,120,8,122
4565,4565,0,707878,120,8,122
4566,4566,0,707c70,120,2,122
4567,4567,0,707c70,300,18,118
4568,4568,0,787c70,214,18,127
4569,4569,0,787c70,120,18,127
4570,4570,0,787c70,120,18,127
4571,4571,0,787c70,60,18,127
4572,4572,0,707c70,60,18,127
4573,4573,0,707c70,60,18,127
4574,4574,0,707878,60,18,127
4575,4575,0,707878,120,18,127
4576,4576,0,707870,120,18,127
4577,4577,0,707870,214,18,127
4578,4578,0,707870,214,8,127
4579,4579,0,707870,120,8,122
4580,4580,0,707870,120,8,122
4581,4581,0,707c70,120,8,122
4582,4582,0,707c70,120,8,122
4583,4583,0,707c70,120,18,122
4584,4584,0,707870,120,18,127
4585,4585,0,707870,120,18,127
4586,4586,0,707870,120,8,127
4587,4587,0,707870,120,8,122
4588,4588,0,707c70,120,8,122
4589,4589,0,707c70,120,8,122
4590,4590,0,787870,120,18,122
4591,4591,0,707870,120,18,127
4592,4592,0,787870,120,18,127
4593,4593,0,787870,26,8,127
4594,4594,0,707870,120,18,122
4595,4595,0,707870,26,18,127
4596,4596,0,707870,26,8,127
4597,4597,0,707870,120,8,122
4598,4598,0,707870,120,8,122
4599,4599,0,707c70,120,8,122
4600,4600,0,707c70,120,8,122
4601,4601,0,707c70,120,18,122
4602,4602,0,707870,120,18,127
4603,4603,0,707870,120,18,127
4604,4604,0,707c70,120,8,127
4605,4605,0,707870,120,8,122
4606,4606,0,707c70,120,18,122
4607,4607,0,707c70,120,8,127
4608,4608,0,707870,120,18,122
4609,4609,0,707870,120,18,127
4610,4610,0,707870,120,8,127
4611,4611,0,707868,120,8,122
4612,4612,0,707868,120,8,122
4613,4613,0,707868,120,27,122
4614,4614,0,707868,79,27,122
4615,4615,0,707c68,79,27,122
4616,4616,0,707c68,79,27,122
4617,4617,0,707c68,79,36,122
4618,4618,0,707868,90,36,127
4619,4619,0,707868,90,36,127
4620,4620,0,707868,90,27,127
4621,4621,0,707870,79,27,122
4622,4622,0,707470,79,27,122
4623,4623,0,707470,79,8,122
4624,4624,0,707470,120,2,122
4625,4625,0,707470,300,2,118
4626,4626,0,707868,300,2,118
4627,4627,0,707868,300,2,118
4628,4628,0,707c68,300,27,118
4629,4629,0,707c68,79,27,122
4630,4630,0,707868,79,36,122
4631,4631,0,707868,90,36,127
4632,4632,0,707870,90,27,127
4633,4633,0,707870,79,27,122
4634,4634,0,707870,79,8,122
4635,4635,0,707870,120,8,122
4636,4636,0,687870,120,8,122
4637,4637,0,687870,120,8,122
4638,4638,0,707870,120,27,122
4639,4639,0,687868,161,27,122
4640,4640,0,687868,161,8,122
4641,4641,0,687868,120,27,122
4642,4642,0,687868,120,27,122
4643,4643,0,687868,120,27,122
4644,4644,0,687868,120,27,122
4645,4645,0,687868,120,27,122
4646,4646,0,707868,120,27,122
4647,4647,0,707868,120,27,122
4648,4648,0,707868,120,27,122
4649,4649,0,707868,79,27,122
4650,4650,0,707868,79,27,122
4651,4651,0,707868,79,27,122
4652,4652,0,707868,79,27,122
4653,4653,0,707868,79,27,122
4654,4654,0,687868,79,27,122
4655,4655,0,687868,79,27,122
4656,4656,0,687868,79,27,122
4657,4657,0,687868,120,27,122
4658,4658,0,607868,120,27,122
4659,4659,0,687868,120,27,122
4660,4660,0,687868,120,46,122
4661,4661,0,687868,144,27,122
4662,4662,0,687868,120,27,122
4663,4663,0,707868,120,27,122
4664,4664,0,687868,120,27,122
4665,4665,0,687868,120,27,122
4666,4666,0,707868,79,27,122
4667,4667,0,707868,120,27,122
4668,4668,0,707868,120,27,122
4669,4669,0,707c68,79,27,122
4670,4670,0,687c68,79,27,122
4671,4671,0,687c68,79,36,122
4672,4672,0,687868,90,36,127
4673,4673,0,687868,120,36,127
4674,4674,0,687868,120,27,127
4675,4675,0,687868,120,27,122
4676,4676,0,687868,120,27,122
4677,4677,0,687868,120,27,122
4678,4678,0,687868,120,27,122
4679,4679,0,707868,120,27,122
4680,4680,0,687868,120,27,122
4681,4681,0,687868,120,27,122
4682,4682,0,687868,79,27,122
4683,4683,0,687868,120,27,122
4684,4684,0,687868,120,27,122
4685,4685,0,687868,120,27,122
4686,4686,0,687868,120,27,122
4687,4687,0,687868,120,27,122
4688,4688,0,687868,120,27,122
4689,4689,0,687868,120,27,122
4690,4690,0,687868,120,27,122
4691,4691,0,687868,120,27,122
4692,4692,0,687868,120,27,122
4693,4693,0,687868,120,27,122
4694,4694,0,687860,120,27,122
4695,4695,0,687860,120,27,122
4696,4696,0,687868,120,46,122
4697,4697,0,687868,96,46,122
4698,4698,0,687468,96,27,122
4699,4699,0,687868,120,27,122
4700,4700,0,687868,120,17,122
4701,4701,0,687468,120,27,117
4702,4702,0,687868,120,27,122
4703,4703,0,687860,120,17,122
4704,4704,0,687868,120,27,117
4705,4705,0,687868,120,46,122
4706,4706,0,687868,96,27,122
4707,4707,0,687868,120,27,122
4708,4708,0,687860,120,27,122
4709,4709,0,687868,120,27,122
4710,4710,0,687868,120,46,122
4711,4711,0,687868,96,27,122
4712,4712,0,687868,120,27,122
4713,4713,0,687868,120,27,122
4714,4714,0,687468,120,27,122
4715,4715,0,687468,120,27,122
4716,4716,0,687468,120,17,122
4717,4717,0,687468,120,17,117
4718,4718,0,687460,120,17,117
4719,4719,0,687460,120,17,117
4720,4720,0,607060,120,37,117
4721,4721,0,607060,89,37,117
4722,4722,0,586858,89,27,117
4723,4723,0,506450,120,27,112
4724,4724,0,485440,120,36,112
4725,4725,0,505c48,120,48,106
4726,4726,0,506048,120,63,101
4727,4727,0,485840,95,59,85
4728,4728,0,405040,96,61,95
4729,4729,0,404c40,97,73,96
4730,4730,0,404838,100,51,90
4731,4731,0,404838,120,48,80
4732,4732,0,405438,120,38,79
4733,4733,0,485c38,115,38,74
4734,4734,0,486440,115,66,74
4735,4735,0,506848,118,86,85
4736,4736,0,586848,102,93,95
4737,4737,0,586848,106,79,101
4738,4738,0,607858,104,79,106
4739,4739,0,708868,88,79,106
4740,4740,0,788c70,88,65,106
4741,4741,0,708468,103,53,122
4742,4742,0,707c68,102,44,138
4743,4743,0,687468,99,46,143
4744,4744,0,607860,98,36,133
4745,4745,0,607860,90,17,127
4746,4746,0,607460,120,46,117
4747,4747,0,607460,120,46,122
4748,4748,0,687460,120,37,122
4749,4749,0,687460,120,37,117
4750,4750,0,687860,120,37,117
4751,4751,0,607460,89,37,117
4752,4752,0,607460,89,46,117
4753,4753,0,607460,96,37,122
4754,4754,0,607460,120,37,117
4755,4755,0,607460,120,37,117
4756,4756,0,607460,120,37,117
4757,4757,0,607460,120,37,117
4758,4758,0,687060,120,37,117
4759,4759,0,687060,120,37,117
4760,4760,0,687460,120,27,117
4761,4761,0,687460,75,27,112
4762,4762,0,687860,75,37,112
4763,4763,0,687860,89,37,117
4764,4764,0,607460,89,46,117
4765,4765,0,687460,96,46,122
4766,4766,0,607860,96,37,122
4767,4767,0,607460,120,37,117
4768,4768,0,607860,89,46,117
4769,4769,0,607860,120,37,122
4770,4770,0,607860,120,46,117
4771,4771,0,607860,120,46,122
4772,4772,0,607460,120,46,122
4773,4773,0,607460,120,46,122
4774,4774,0,687460,120,37,122
4775,4775,0,687460,120,37,117
4776,4776,0,687460,120,37,117
4777,4777,0,687460,89,37,117
4778,4778,0,687860,89,37,117
4779,4779,0,687860,89,37,117
4780,4780,0,687860,89,46,117
4781,4781,0,687860,96,46,122
4782,4782,0,687860,96,46,122
4783,4783,0,687860,96,46,122
4784,4784,0,687860,96,46,122
4785,4785,0,687860,96,46,122
4786,4786,0,687460,96,46,122
4787,4787,0,687460,96,46,122
4788,4788,0,607460,96,37,122
4789,4789,0,607460,89,37,117
4790,4790,0,607860,89,37,117
4791,4791,0,607860,120,37,117
4792,4792,0,687860,120,46,117
4793,4793,0,687460,120,46,122
4794,4794,0,687460,120,46,122
4795,4795,0,607460,96,37,122
4796,4796,0,607460,89,37,117
4797,4797,0,687460,89,37,117
4798,4798,0,687460,120,37,117
4799,4799,0,687860,120,37,117
4800,4800,0,607860,89,37,117
4801,4801,0,607860,89,46,117
4802,4802,0,607860,96,46,122
4803,4803,0,607860,120,46,122
4804,4804,0,607460,120,46,122
4805,4805,0,607460,120,46,122
4806,4806,0,687460,120,37,122
4807,4807,0,687860,120,37,117
4808,4808,0,687860,120,37,117
4809,4809,0,687860,89,46,117
4810,4810,0,607860,96,46,122
4811,4811,0,607860,96,46,122
4812,4812,0,607860,96,46,122
4813,4813,0,607860,120,46,122
4814,4814,0,687460,120,46,122
4815,4815,0,687460,120,46,122
4816,4816,0,687460,120,37,122
4817,4817,0,687460,89,37,117
4818,4818,0,707460,89,37,117
4819,4819,0,687460,89,37,117
4820,4820,0,687460,89,39,117
4821,4821,0,687460,56,37,118
4822,4822,0,607860,89,37,117
4823,4823,0,607860,89,37,117
4824,4824,0,607860,89,46,117
4825,4825,0,607860,120,46,122
4826,4826,0,607860,120,46,122
4827,4827,0,607860,120,46,122
4828,4828,0,607460,120,46,122
4829,4829,0,607460,120,46,122
4830,4830,0,687460,120,37,122
4831,4831,0,687460,120,37,117
4832,4832,0,687860,120,37,117
4833,4833,0,687860,89,37,117
4834,4834,0,687460,89,46,117
4835,4835,0,607460,96,46,122
4836,4836,0,687460,96,37,122
4837,4837,0,687460,89,37,117
4838,4838,0,687858,120,37,117
4839,4839,0,687858,89,37,117
4840,4840,0,687858,89,65,117
4841,4841,0,687858,86,65,122
4842,4842,0,687858,86,65,122
4843,4843,0,687860,86,65,122
4844,4844,0,687860,86,65,122
4845,4845,0,687860,86,46,122
4846,4846,0,687460,96,46,122
4847,4847,0,687460,96,46,122
4848,4848,0,687460,96,37,122
4849,4849,0,687460,89,37,117
4850,4850,0,687460,89,37,117
4851,4851,0,687460,89,37,117
4852,4852,0,687460,89,37,117
4853,4853,0,687460,89,37,117
4854,4854,0,687460,89,37,117
4855,4855,0,687860,89,37,117
4856,4856,0,607460,89,37,117
4857,4857,0,607460,89,46,117
4858,4858,0,607460,96,37,122
4859,4859,0,607460,120,37,117
4860,4860,0,687460,120,37,117
4861,4861,0,687460,120,37,117
4862,4862,0,687060,120,37,117
4863,4863,0,687060,89,37,117
4864,4864,0,687460,89,27,117
4865,4865,0,687460,75,27,112
4866,4866,0,687460,75,37,112
4867,4867,0,687460,89,37,117
4868,4868,0,687460,89,37,117
4869,4869,0,687868,89,37,117
4870,4870,0,687860,89,37,117
4871,4871,0,687460,89,27,117
4872,4872,0,687460,120,46,122
4873,4873,0,687060,96,37,122
4874,4874,0,687060,89,37,117
4875,4875,0,687060,89,27,117
4876,4876,0,607060,75,27,112
4877,4877,0,607460,75,27,112
4878,4878,0,687460,75,27,112
4879,4879,0,687460,120,37,112
4880,4880,0,687460,120,37,117
4881,4881,0,687460,89,37,117
4882,4882,0,687460,89,37,117
4883,4883,0,687460,89,37,117
4884,4884,0,687460,89,37,117
4885,4885,0,687460,89,37,117
4886,4886,0,687860,89,37,117
4887,4887,0,687860,89,37,117
4888,4888,0,607860,89,46,117
4889,4889,0,607860,96,46,122
4890,4890,0,687860,96,46,122
4891,4891,0,607460,120,46,122
4892,4892,0,607460,120,46,122
4893,4893,0,687460,96,37,122
4894,4894,0,687460,120,37,117
4895,4895,0,687460,120,37,117
4896,4896,0,687460,89,37,117
4897,4897,0,687460,89,37,117
4898,4898,0,607460,89,37,117
4899,4899,0,607460,89,37,117
4900,4900,0,687858,89,37,117
4901,4901,0,687858,120,37,117
4902,4902,0,687858,120,65,117
4903,4903,0,687858,86,65,122
4904,4904,0,687858,86,65,122
4905,4905,0,687858,86,65,122
4906,4906,0,687860,86,65,122
4907,4907,0,687860,86,65,122
4908,4908,0,687460,86,46,122
4909,4909,0,687460,96,46,122
4910,4910,0,687460,96,37,122
4911,4911,0,687460,89,37,117
4912,4912,0,687460,89,37,117
4913,4913,0,687460,89,37,117
4914,4914,0,687460,89,37,117
4915,4915,0,687460,89,37,117
4916,4916,0,707460,89,37,117
4917,4917,0,687460,89,37,117
4918,4918,0,687860,89,39,117
4919,4919,0,687460,56,37,118
4920,4920,0,687860,89,46,117
4921,4921,0,687860,96,37,122
4922,4922,0,687460,89,46,117
4923,4923,0,687460,96,46,122
4924,4924,0,687460,96,37,122
4925,4925,0,687860,89,37,117
4926,4926,0,687860,89,37,117
4927,4927,0,687860,89,46,117
4928,4928,0,687860,96,46,122
4929,4929,0,687860,96,46,122
4930,4930,0,687860,96,46,122
4931,4931,0,687860,96,46,122
4932,4932,0,687860,96,46,122
4933,4933,0,687860,96,46,122
4934,4934,0,607860,96,46,122
4935,4935,0,607860,96,46,122
4936,4936,0,687860,96,46,122
4937,4937,0,687860,120,46,122
4938,4938,0,687860,120,46,122
4939,4939,0,687860,96,46,122
4940,4940,0,607460,96,46,122
4941,4941,0,607860,96,46,122
4942,4942,0,607860,96,37,122
4943,4943,0,607860,120,46,117
4944,4944,0,687860,120,46,122
4945,4945,0,687860,120,46,122
4946,4946,0,687860,120,46,122
4947,4947,0,687860,96,46,122
4948,4948,0,687860,96,46,122
4949,4949,0,687860,96,46,122
4950,4950,0,687860,96,46,122
4951,4951,0,687858,96,46,122
4952,4952,0,687860,96,46,122
4953,4953,0,687860,96,65,122
4954,4954,0,607460,86,46,122
4955,4955,0,607460,96,46,122
4956,4956,0,607460,96,37,122
4957,4957,0,607460,120,37,117
4958,4958,0,687860,120,37,117
4959,4959,0,687860,120,37,117
4960,4960,0,607860,120,46,117
4961,4961,0,607860,96,46,122
4962,4962,0,607860,96,46,122
4963,4963,0,607860,120,46,122
4964,4964,0,607860,120,46,122
4965,4965,0,607860,120,46,122
4966,4966,0,607460,120,46,122
4967,4967,0,607460,120,46,122
4968,4968,0,687460,120,37,122
4969,4969,0,687460,120,37,117
4970,4970,0,687460,120,37,117
4971,4971,0,687460,89,37,117
4972,4972,0,607460,89,37,117
4973,4973,0,607460,89,37,117
4974,4974,0,687860,89,37,117
4975,4975,0,687460,120,37,117
4976,4976,0,607460,120,46,117
4977,4977,0,687860,96,37,122
4978,4978,0,607c60,89,37,117
4979,4979,0,607c60,120,46,117
4980,4980,0,687c60,96,54,122
4981,4981,0,688060,120,54,127
4982,4982,0,708460,120,54,127
4983,4983,0,607858,100,56,127
4984,4984,0,607050,101,63,128
4985,4985,0,586850,88,65,133
4986,4986,0,506848,103,68,122
4987,4987,0,506448,84,57,112
4988,4988,0,506440,98,79,106
4989,4989,0,486038,104,70,106
4990,4990,0,505838,101,93,101
4991,4991,0,485838,91,88,101
4992,4992,0,405038,102,76,96
4993,4993,0,405038,78,76,90
4994,4994,0,405440,98,54,90
4995,4995,0,405440,117,54,80
4996,4996,0,485840,117,63,80
4997,4997,0,485c40,120,63,85
4998,4998,0,485c40,120,73,85
4999,4999,0,506040,100,83,90
5000,5000,0,506048,103,83,95
5001,5001,0,506448,103,85,95
5002,5002,0,586848,87,61,96
5003,5003,0,586c50,97,70,96
5004,5004,0,607860,101,79,101
5005,5005,0,607458,88,66,106
5006,5006,0,607060,102,46,111
5007,5007,0,607460,120,56,122
5008,5008,0,687460,100,27,117
5009,5009,0,687860,120,37,112
5010,5010,0,687460,120,37,117
5011,5011,0,687460,89,46,117
5012,5012,0,687860,96,37,122
5013,5013,0,687860,89,37,117
5014,5014,0,607860,89,46,117
5015,5015,0,607860,96,46,122
5016,5016,0,687860,96,46,122
5017,5017,0,687860,120,46,122
5018,5018,0,687860,120,46,122
5019,5019,0,687860,96,46,122
5020,5020,0,687860,96,46,122
5021,5021,0,687860,96,46,122
5022,5022,0,687860,96,46,122
5023,5023,0,687860,96,46,122
5024,5024,0,687860,96,46,122
5025,5025,0,607860,96,46,122
5026,5026,0,607860,96,46,122
5027,5027,0,607860,96,46,122
5028,5028,0,687460,120,46,122
5029,5029,0,687460,120,46,122
5030,5030,0,687860,120,37,122
5031,5031,0,687860,89,37,117
5032,5032,0,687860,89,46,117
5033,5033,0,687860,96,46,122
5034,5034,0,687460,96,46,122
5035,5035,0,687460,96,46,122
5036,5036,0,607860,96,37,122
5037,5037,0,607860,89,37,117
5038,5038,0,687860,89,46,117
5039,5039,0,687860,120,46,122
5040,5040,0,687860,120,46,122
5041,5041,0,687860,96,46,122
5042,5042,0,687860,96,46,122
5043,5043,0,687860,96,46,122
5044,5044,0,607860,96,46,122
5045,5045,0,607860,96,46,122
5046,5046,0,607860,96,46,122
5047,5047,0,607860,120,46,122
5048,5048,0,687860,120,46,122
5049,5049,0,687860,120,46,122
5050,5050,0,607860,120,46,122
5051,5051,0,607c60,96,46,122
5052,5052,0,607860,96,46,122
5053,5053,0,607860,120,54,122
5054,5054,0,687860,120,46,127
5055,5055,0,687860,120,46,122
5056,5056,0,687868,120,46,122
5057,5057,0,687868,96,46,122
5058,5058,0,687468,96,27,122
5059,5059,0,687868,120,27,122
5060,5060,0,687868,120,17,122
5061,5061,0,687868,120,27,117
5062,5062,0,687860,120,27,122
5063,5063,0,687860,120,27,122
5064,5064,0,687860,120,46,122
5065,5065,0,687860,96,46,122
5066,5066,0,687460,96,46,122
5067,5067,0,687860,96,46,122
5068,5068,0,687460,96,37,122
5069,5069,0,687860,89,46,117
5070,5070,0,687860,96,37,122
5071,5071,0,687860,89,46,117
5072,5072,0,687860,96,46,122
5073,5073,0,687860,96,46,122
5074,5074,0,687860,96,46,122
5075,5075,0,687860,96,46,122
5076,5076,0,687860,96,46,122
5077,5077,0,687860,96,46,122
5078,5078,0,687868,96,46,122
5079,5079,0,687868,96,46,122
5080,5080,0,687868,96,27,122
5081,5081,0,687868,120,27,122
5082,5082,0,687c68,120,27,122
5083,5083,0,687868,120,27,122
5084,5084,0,687868,120,36,122
5085,5085,0,687868,120,27,127
5086,5086,0,687868,120,27,122
5087,5087,0,687868,120,27,122
5088,5088,0,687868,120,27,122
5089,5089,0,687c68,120,27,122
5090,5090,0,687868,120,27,122
5091,5091,0,687868,120,36,122
5092,5092,0,707868,120,27,127
