Sample in Buffer,Sample in Window,TRIGGER,MONITOR_INST/TS_S[3:0],MONITOR_INST/X[13:0],MONITOR_INST/ds,MONITOR_INST/sw,MONITOR_INST/speed_set[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
169,169,0,5,032e,0,0,c424
170,170,0,5,032e,0,0,c424
171,171,0,5,032e,0,0,c424
172,172,0,5,032e,0,0,c424
173,173,0,5,032e,0,0,c424
174,174,0,5,032e,0,0,c424
175,175,0,5,032e,0,0,c424
176,176,0,5,032e,0,0,c424
177,177,0,5,032e,0,0,c424
178,178,0,5,032e,0,0,c424
179,179,0,5,032e,0,0,c424
180,180,0,5,032e,0,0,c424
181,181,0,5,032e,0,0,c424
182,182,0,5,032e,0,0,c424
183,183,0,5,032e,0,0,c424
184,184,0,5,032e,0,0,c424
185,185,0,5,032e,0,0,c424
186,186,0,5,032e,0,0,c424
187,187,0,5,032e,0,0,c424
188,188,0,5,032e,0,0,c424
189,189,0,5,032e,0,0,c424
190,190,0,5,032e,0,0,c424
191,191,0,5,032e,0,0,c424
192,192,0,5,032e,0,0,c424
193,193,0,5,032e,0,0,c424
194,194,0,5,032e,0,0,c424
195,195,0,5,032e,0,0,c424
196,196,0,5,032e,0,0,c424
197,197,0,5,032e,0,0,c424
198,198,0,5,032e,0,0,c424
199,199,0,5,032e,0,0,c424
200,200,0,5,032e,0,0,c424
201,201,0,5,032e,0,0,c424
202,202,0,5,032e,0,0,c424
203,203,0,5,032e,0,0,c424
204,204,0,5,032e,0,0,c424
205,205,0,5,032e,0,0,c424
206,206,0,5,032e,0,0,c424
207,207,0,5,032e,0,0,c424
208,208,0,5,032e,0,0,c424
209,209,0,5,032e,0,0,c424
210,210,0,5,032e,0,0,c424
211,211,0,5,032e,0,0,c424
212,212,0,5,032e,0,0,c424
213,213,0,5,032e,0,0,c424
214,214,0,5,032e,0,0,c424
215,215,0,5,032e,0,0,c424
216,216,0,5,032e,0,0,c424
217,217,0,5,032e,0,0,c424
218,218,0,5,032e,0,0,c424
219,219,0,5,032e,0,0,c424
220,220,0,5,032e,0,0,c424
221,221,0,5,032e,0,0,c424
222,222,0,5,032e,0,0,c424
223,223,0,5,032e,0,0,c424
224,224,0,5,032e,0,0,c424
225,225,0,5,032e,0,0,c424
226,226,0,5,032e,0,0,c424
227,227,0,5,032e,0,0,c424
228,228,0,5,032e,0,0,c424
229,229,0,5,032e,0,0,c424
230,230,0,5,032e,0,0,c424
231,231,0,5,032e,0,0,c424
232,232,0,5,032e,0,0,c424
233,233,0,5,032e,0,0,c424
234,234,0,5,032e,0,0,c424
235,235,0,5,032e,0,0,c424
236,236,0,5,032e,0,0,c424
237,237,0,5,032e,0,0,c424
238,238,0,5,032e,0,0,c424
239,239,0,5,032e,0,0,c424
240,240,0,5,032e,0,0,c424
241,241,0,5,032e,0,0,c424
242,242,0,5,032e,0,0,c424
243,243,0,5,032e,0,0,c424
244,244,0,5,032e,0,0,c424
245,245,0,5,032e,0,0,c424
246,246,0,5,032e,0,0,c424
247,247,0,5,032e,0,0,c424
248,248,0,5,032e,0,0,c424
249,249,0,5,032e,0,0,c424
250,250,0,5,032e,0,0,c424
251,251,0,5,032e,0,0,c424
252,252,0,5,032e,0,0,c424
253,253,0,5,032e,0,0,c424
254,254,0,5,032e,0,0,c424
255,255,0,5,032e,0,0,c424
256,256,0,5,032e,0,0,c424
257,257,0,5,032e,0,0,c424
258,258,0,5,032e,0,0,c424
259,259,0,5,032e,0,0,c424
260,260,0,5,032e,0,0,c424
261,261,0,5,032e,0,0,c424
262,262,0,5,032e,0,0,c424
263,263,0,5,032e,0,0,c424
264,264,0,5,032e,0,0,c424
265,265,0,5,032e,0,0,c424
266,266,0,5,032e,0,0,c424
267,267,0,5,032e,0,0,c424
268,268,0,5,032e,0,0,c424
269,269,0,5,032e,0,0,c424
270,270,0,5,032e,0,0,c424
271,271,0,5,032e,0,0,c424
272,272,0,5,032e,0,0,c424
273,273,0,5,032e,0,0,c424
274,274,0,5,032e,0,0,c424
275,275,0,5,032e,0,0,c424
276,276,0,5,032e,0,0,c424
277,277,0,5,032e,0,0,c424
278,278,0,5,032e,0,0,c424
279,279,0,5,032e,0,0,c424
280,280,0,5,032e,0,0,c424
281,281,0,5,032e,0,0,c424
282,282,0,5,032e,0,0,c424
283,283,0,5,032e,0,0,c424
284,284,0,5,032e,0,0,c424
285,285,0,5,032e,0,0,c424
286,286,0,5,032e,0,0,c424
287,287,0,5,032e,0,0,c424
288,288,0,5,032e,0,0,c424
289,289,0,5,032e,0,0,c424
290,290,0,5,032e,0,0,c424
291,291,0,5,032e,0,0,c424
292,292,0,5,032e,0,0,c424
293,293,0,5,032e,0,0,c424
294,294,0,5,032e,0,0,c424
295,295,0,5,032e,0,0,c424
296,296,0,5,032e,0,0,c424
297,297,0,5,032e,0,0,c424
298,298,0,5,032e,0,0,c424
299,299,0,5,032e,0,0,c424
300,300,0,5,032e,0,0,c424
301,301,0,5,032e,0,0,c424
302,302,0,5,032e,0,0,c424
303,303,0,5,032e,0,0,c424
304,304,0,5,032e,0,0,c424
305,305,0,5,032e,0,0,c424
306,306,0,5,032e,0,0,c424
307,307,0,5,032e,0,0,c424
308,308,0,5,032e,0,0,c424
309,309,0,5,032e,0,0,c424
310,310,0,5,032e,0,0,c424
311,311,0,5,032e,0,0,c424
312,312,0,5,032e,0,0,c424
313,313,0,5,032e,0,0,c424
314,314,0,5,032e,0,0,c424
315,315,0,5,032e,0,0,c424
316,316,0,5,032e,0,0,c424
317,317,0,5,032e,0,0,c424
318,318,0,5,032e,0,0,c424
319,319,0,5,032e,0,0,c424
320,320,0,5,032e,0,0,c424
321,321,0,5,032e,0,0,c424
322,322,0,5,032e,0,0,c424
323,323,0,5,032e,0,0,c424
324,324,0,5,032e,0,0,c424
325,325,0,5,032e,0,0,c424
326,326,0,5,032e,0,0,c424
327,327,0,5,032e,0,0,c424
328,328,0,5,032e,0,0,c424
329,329,0,5,032e,0,0,c424
330,330,0,5,032e,0,0,c424
331,331,0,5,032e,0,0,c424
332,332,0,5,032e,0,0,c424
333,333,0,5,032e,0,0,c424
334,334,0,5,032e,0,0,c424
335,335,0,5,032e,0,0,c424
336,336,0,5,032e,0,0,c424
337,337,0,5,032e,0,0,c424
338,338,0,5,032e,0,0,c424
339,339,0,5,032e,0,0,c424
340,340,0,5,032e,0,0,c424
341,341,0,5,032e,0,0,c424
342,342,0,5,032e,0,0,c424
343,343,0,5,032e,0,0,c424
344,344,0,5,032e,0,0,c424
345,345,0,5,032e,0,0,c424
346,346,0,5,032e,0,0,c424
347,347,0,5,032e,0,0,c424
348,348,0,5,032e,0,0,c424
349,349,0,5,032e,0,0,c424
350,350,0,5,032e,0,0,c424
351,351,0,5,032e,0,0,c424
352,352,0,5,032e,0,0,c424
353,353,0,5,032e,0,0,c424
354,354,0,5,032e,0,0,c424
355,355,0,5,032e,0,0,c424
356,356,0,5,032e,0,0,c424
357,357,0,5,032e,0,0,c424
358,358,0,5,032e,0,0,c424
